"Old Path","Old URL","New URL","Associated Type","Associated ID"
/universal-case-candy-diary-small-size/,http://www.happytel.com/universal-case-candy-diary-small-size/,http://www.happytel.com/universal-candy-diary-small/,Product,351
/universal-case-yes-view-flip-large-size/,http://www.happytel.com/universal-case-yes-view-flip-large-size/,http://www.happytel.com/universal-yes-view-flip-large/,Product,350
/universal-case-yes-view-flip-medium-size/,http://www.happytel.com/universal-case-yes-view-flip-medium-size/,http://www.happytel.com/universal-yes-view-flip-medium/,Product,349
/universal-case-vivid-flip-large-size/,http://www.happytel.com/universal-case-vivid-flip-large-size/,http://www.happytel.com/universal-vivid-flip-large/,Product,348
/universal-case-vivid-flip-medium-size/,http://www.happytel.com/universal-case-vivid-flip-medium-size/,http://www.happytel.com/universal-vivid-flip-medium/,Product,347
/universal-case-vivid-flip-small-size/,http://www.happytel.com/universal-case-vivid-flip-small-size/,http://www.happytel.com/universal-vivid-flip-small/,Product,346
/universal-case-yes-wallet-large-size/,http://www.happytel.com/universal-case-yes-wallet-large-size/,http://www.happytel.com/universal-yes-wallet-large/,Product,345
/universal-case-yes-wallet-medium-size/,http://www.happytel.com/universal-case-yes-wallet-medium-size/,http://www.happytel.com/universal-yes-wallet-medium/,Product,344
/samsung-galaxy-note-3-case-leather-case-eros/,http://www.happytel.com/samsung-galaxy-note-3-case-leather-case-eros/,http://www.happytel.com/galaxy-note-3-eros/,Product,343
/iphone-5-5s-case-leather-case-eros/,http://www.happytel.com/iphone-5-5s-case-leather-case-eros/,http://www.happytel.com/iphone-5-5s-eros-case/,Product,342
/samsung-galaxy-s3-case-leather-case-eros/,http://www.happytel.com/samsung-galaxy-s3-case-leather-case-eros/,http://www.happytel.com/galaxy-s3-eros/,Product,341
/samsung-galaxy-s4-case-leather-case-eros/,http://www.happytel.com/samsung-galaxy-s4-case-leather-case-eros/,http://www.happytel.com/galaxy-s4-eros/,Product,340
/samsung-galaxy-s5-case-leather-case-eros/,http://www.happytel.com/samsung-galaxy-s5-case-leather-case-eros/,http://www.happytel.com/galaxy-s5-eros/,Product,339
/iphone-4-4s-plus-case-leather-case-eros/,http://www.happytel.com/iphone-4-4s-plus-case-leather-case-eros/,http://www.happytel.com/iphone-4-4s-eros/,Product,338
/iphone-6-plus-case-leather-case-eros/,http://www.happytel.com/iphone-6-plus-case-leather-case-eros/,http://www.happytel.com/iphone-6-plus-eros-case/,Product,337
/samsung-galaxy-note-4-cases-covers-hard-case-eureka-with-opal-card-holder/,http://www.happytel.com/samsung-galaxy-note-4-cases-covers-hard-case-eureka-with-opal-card-holder/,http://www.happytel.com/galaxy-note-4-eureka/,Product,336
/iphone-6-plus-cases-covers-hard-case-eureka-with-opal-card-holder/,http://www.happytel.com/iphone-6-plus-cases-covers-hard-case-eureka-with-opal-card-holder/,http://www.happytel.com/iphone-6-plus-eureka-case/,Product,335
/iphone-6-cases-covers-hard-case-eureka-with-opal-card-holder/,http://www.happytel.com/iphone-6-cases-covers-hard-case-eureka-with-opal-card-holder/,http://www.happytel.com/iphone-6-eureka-case/,Product,334
/galaxy-s4-cases-covers-hard-case-eureka/,http://www.happytel.com/galaxy-s4-cases-covers-hard-case-eureka/,http://www.happytel.com/galaxy-s4-eureka/,Product,333
/note-4-case-rich-diary-case/,http://www.happytel.com/note-4-case-rich-diary-case/,http://www.happytel.com/galaxy-note-4-rich-diary/,Product,332
/iphone-6-case-rich-diary-case/,http://www.happytel.com/iphone-6-case-rich-diary-case/,http://www.happytel.com/iphone-6-rich-diary-case/,Product,331
/iphone-6-plus-case-rich-diary-case/,http://www.happytel.com/iphone-6-plus-case-rich-diary-case/,http://www.happytel.com/iphone-6-plus-rich-diary-case/,Product,329
/iphone-5-case-rich-diary-case/,http://www.happytel.com/iphone-5-case-rich-diary-case/,http://www.happytel.com/iphone-5-5s-rich-diary-case/,Product,328
/iphone-6-plus-case-persian-neo-hard-case/,http://www.happytel.com/iphone-6-plus-case-persian-neo-hard-case/,http://www.happytel.com/iphone-6-plus-persian-neo-case/,Product,327
/iphone-6-case-persian-neo-hard-case/,http://www.happytel.com/iphone-6-case-persian-neo-hard-case/,http://www.happytel.com/iphone-6-persian-neo-case/,Product,326
/iphone-6-6s-persian-neo/,http://www.happytel.com/iphone-6-6s-persian-neo/,http://www.happytel.com/iphone-6-persian-neo-case/,Product,326
/galaxy-s5-case-persian-neo-hard-case/,http://www.happytel.com/galaxy-s5-case-persian-neo-hard-case/,http://www.happytel.com/galaxy-s5-persian-neo/,Product,325
/galaxy-s5-case-pocket-diary-with-opal-card-holder/,http://www.happytel.com/galaxy-s5-case-pocket-diary-with-opal-card-holder/,http://www.happytel.com/galaxy-s5-pocket-diary-case/,Product,324
/iphone-6-plus-case-pocket-diary-with-opal-card-holder/,http://www.happytel.com/iphone-6-plus-case-pocket-diary-with-opal-card-holder/,http://www.happytel.com/iphone-6-plus-pocket-diary-case/,Product,323
/iphone-6-case-pocket-diary-with-opal-card-holder/,http://www.happytel.com/iphone-6-case-pocket-diary-with-opal-card-holder/,http://www.happytel.com/iphone-6-pocket-diary-case/,Product,322
/iphone-6-plus-case-golf-fit-hard-case-with-opal-card-holder/,http://www.happytel.com/iphone-6-plus-case-golf-fit-hard-case-with-opal-card-holder/,http://www.happytel.com/iphone-6-plus-golf-fit-case/,Product,321
/iphone-6-case-golf-fit-hard-case-with-opal-card-holder/,http://www.happytel.com/iphone-6-case-golf-fit-hard-case-with-opal-card-holder/,http://www.happytel.com/iphone-6-golf-fit-case/,Product,319
/iphone-6-plus-case-hard-case-bumper-4/,http://www.happytel.com/iphone-6-plus-case-hard-case-bumper-4/,http://www.happytel.com/iphone-6-plus-bumper-4-case/,Product,316
/iphone-6-plus-case-hard-case-bumper-8/,http://www.happytel.com/iphone-6-plus-case-hard-case-bumper-8/,http://www.happytel.com/iphone-6-plus-bumper-8-case/,Product,315
/galaxy-s5-case-lifeproof-fre-case/,http://www.happytel.com/galaxy-s5-case-lifeproof-fre-case/,http://www.happytel.com/galaxy-s5-lifeproof-fre/,Product,310
/iphone-6-case-lifeproof-fre-case/,http://www.happytel.com/iphone-6-case-lifeproof-fre-case/,http://www.happytel.com/iphone-6-lifeproof-fre-case/,Product,309
/iphone-4-4s-case-twin-diary/,http://www.happytel.com/iphone-4-4s-case-twin-diary/,http://www.happytel.com/iphone-4-4s-twin-diary/,Product,304
/galaxy-note-4-case-bling-button-diary-leather-case/,http://www.happytel.com/galaxy-note-4-case-bling-button-diary-leather-case/,http://www.happytel.com/galaxy-note-4-bling-button-diary/,Product,303
/iphone-6-case-soft-case-drops/,http://www.happytel.com/iphone-6-case-soft-case-drops/,http://www.happytel.com/iphone-6-drops-case/,Product,300
/iphone-6-case-hard-case-walnutt/,http://www.happytel.com/iphone-6-case-hard-case-walnutt/,http://www.happytel.com/iphone-6-walnutt-case/,Product,297
/iphone-6-plus-case-hard-case-walnutt/,http://www.happytel.com/iphone-6-plus-case-hard-case-walnutt/,http://www.happytel.com/iphone-6-plus-walnutt-case/,Product,295
/iphone-6-case-hard-case-16-series/,http://www.happytel.com/iphone-6-case-hard-case-16-series/,http://www.happytel.com/iphone-6-16-series-case/,Product,290
/iphone-6-plus-case-hard-case-16-series/,http://www.happytel.com/iphone-6-plus-case-hard-case-16-series/,http://www.happytel.com/iphone-6-plus-16-series/,Product,289
/galaxy-note-4-case-samsung-galaxy-note-4-s-view-cover/,http://www.happytel.com/galaxy-note-4-case-samsung-galaxy-note-4-s-view-cover/,http://www.happytel.com/galaxy-note-4-s-view-official/,Product,288
/iphone-6-plus-case-shimmer/,http://www.happytel.com/iphone-6-plus-case-shimmer/,http://www.happytel.com/iphone-6-plus-shimmer-case/,Product,284
/iphone-6-case-shimmer/,http://www.happytel.com/iphone-6-case-shimmer/,http://www.happytel.com/iphone-6-shimmer-case/,Product,283
/iphone-6-plus-case-buckle-diary/,http://www.happytel.com/iphone-6-plus-case-buckle-diary/,http://www.happytel.com/iphone-6-plus-buckle-diary-case/,Product,281
/iphone-6-case-buckle-diary/,http://www.happytel.com/iphone-6-case-buckle-diary/,http://www.happytel.com/iphone-6-buckle-diary-case/,Product,280
/iphone-6-plus-case-otterbox-commuter-series-case/,http://www.happytel.com/iphone-6-plus-case-otterbox-commuter-series-case/,http://www.happytel.com/iphone-6-plus-otterbox-commuter-case/,Product,276
/iphone-6-case-otterbox-commuter-series-case/,http://www.happytel.com/iphone-6-case-otterbox-commuter-series-case/,http://www.happytel.com/iphone-6-otterbox-commuter-case/,Product,275
/galaxy-note-4-case-otterbox-defender-series-case/,http://www.happytel.com/galaxy-note-4-case-otterbox-defender-series-case/,http://www.happytel.com/galaxy-note-4-otterbox-defender/,Product,274
/iphone-6-case-sensation-hard-case/,http://www.happytel.com/iphone-6-case-sensation-hard-case/,http://www.happytel.com/iphone-6-sensation-case/,Product,270
/iphone-6-plus-case-sensation-hard-case/,http://www.happytel.com/iphone-6-plus-case-sensation-hard-case/,http://www.happytel.com/iphone-6-plus-sensation-case/,Product,269
/iphone-6-cases-covers-antique-flower/,http://www.happytel.com/iphone-6-cases-covers-antique-flower/,http://www.happytel.com/iphone-6-antique-flower/,Product,266
/iphone-5-5s-cases-covers-antique-flower/,http://www.happytel.com/iphone-5-5s-cases-covers-antique-flower/,http://www.happytel.com/iphone-5-5s-antique-flower/,Product,265
/galaxy-note-4-case-otterbox-symmetry/,http://www.happytel.com/galaxy-note-4-case-otterbox-symmetry/,http://www.happytel.com/galaxy-note-4-otterbox-symmetry-case/,Product,264
/galaxy-s5-case-garden-flower-leather-case/,http://www.happytel.com/galaxy-s5-case-garden-flower-leather-case/,http://www.happytel.com/galaxy-s5-garden-flower/,Product,249
/iphone-6-case-garden-flower-leather-case/,http://www.happytel.com/iphone-6-case-garden-flower-leather-case/,http://www.happytel.com/iphone-6-garden-flower/,Product,247
/galaxy-note-3-case-phone-keeper/,http://www.happytel.com/galaxy-note-3-case-phone-keeper/,http://www.happytel.com/galaxy-note-3-phone-keeper/,Product,261
/iphone-6-plus-case-hard-case-20-c/,http://www.happytel.com/iphone-6-plus-case-hard-case-20-c/,http://www.happytel.com/iphone-6-plus-20-c/,Product,260
/galaxy-alpha-case-sonata-diary-leather-case/,http://www.happytel.com/galaxy-alpha-case-sonata-diary-leather-case/,http://www.happytel.com/galaxy-alpha-sonata-diary/,Product,259
/galaxy-ace-4-case-sonata-diary-leather-case/,http://www.happytel.com/galaxy-ace-4-case-sonata-diary-leather-case/,http://www.happytel.com/galaxy-ace-4-sonata-diary/,Product,258
/galaxy-ace-3-case-sonata-diary-leather-case/,http://www.happytel.com/galaxy-ace-3-case-sonata-diary-leather-case/,http://www.happytel.com/galaxy-ace-3-sonata-diary/,Product,257
/galaxy-s4-mini-case-sonata-diary-leather-case/,http://www.happytel.com/galaxy-s4-mini-case-sonata-diary-leather-case/,http://www.happytel.com/galaxy-s4-mini-sonata-diary/,Product,256
/lumia-625-case-sonata-diary-leather-case/,http://www.happytel.com/lumia-625-case-sonata-diary-leather-case/,http://www.happytel.com/lumia-625-sonata-diary/,Product,255
/lumia-930-case-sonata-diary-leather-case/,http://www.happytel.com/lumia-930-case-sonata-diary-leather-case/,http://www.happytel.com/lumia-930-sonata-diary/,Product,254
/lumia-630-case-sonata-diary-leather-case/,http://www.happytel.com/lumia-630-case-sonata-diary-leather-case/,http://www.happytel.com/lumia-630-sonata-diary/,Product,253
/iphone-5-case-garden-flower-leather-case/,http://www.happytel.com/iphone-5-case-garden-flower-leather-case/,http://www.happytel.com/iphone-5-5s-garden-flower/,Product,246
/galaxy-note-4-case-fancy-diary-leather-case/,http://www.happytel.com/galaxy-note-4-case-fancy-diary-leather-case/,http://www.happytel.com/galaxy-note-4-fancy-diary/,Product,245
/motorola-moto-x-case-fancy-diary-leather-case/,http://www.happytel.com/motorola-moto-x-case-fancy-diary-leather-case/,http://www.happytel.com/motorola-moto-x-fancy-diary/,Product,244
/motorola-moto-g-case-fancy-diary-leather-case/,http://www.happytel.com/motorola-moto-g-case-fancy-diary-leather-case/,http://www.happytel.com/motorola-moto-g-fancy-diary/,Product,243
/xperia-z1-case-fancy-diary-leather-case/,http://www.happytel.com/xperia-z1-case-fancy-diary-leather-case/,http://www.happytel.com/xperia-z1-fancy-diary/,Product,242
/htc-desire-310-case-fancy-diary-leather-case/,http://www.happytel.com/htc-desire-310-case-fancy-diary-leather-case/,http://www.happytel.com/htc-desire-310-fancy-diary/,Product,241
/htc-desire-816-case-fancy-diary-leather-case/,http://www.happytel.com/htc-desire-816-case-fancy-diary-leather-case/,http://www.happytel.com/htc-desire-816-fancy-diary/,Product,240
/xperia-t2-ultra-case-fancy-diary-leather-case/,http://www.happytel.com/xperia-t2-ultra-case-fancy-diary-leather-case/,http://www.happytel.com/xperia-t2-ultra-fancy-diary/,Product,239
/xperia-z3-case-fancy-diary-leather-case/,http://www.happytel.com/xperia-z3-case-fancy-diary-leather-case/,http://www.happytel.com/xperia-z3-fancy-diary/,Product,236
/xperia-z3-comapct-case-fancy-diary-leather-case/,http://www.happytel.com/xperia-z3-comapct-case-fancy-diary-leather-case/,http://www.happytel.com/xperia-z3-compact-fancy-diary/,Product,235
/galaxy-s4-mini-case-fancy-diary-leather-case/,http://www.happytel.com/galaxy-s4-mini-case-fancy-diary-leather-case/,http://www.happytel.com/galaxy-s4-mini-fancy-diary/,Product,234
/iphone-6-plus-case-fancy-diary-leather-case/,http://www.happytel.com/iphone-6-plus-case-fancy-diary-leather-case/,http://www.happytel.com/iphone-6-plus-fancy-diary/,Product,230
/iphone-6-plus-case-bling-button-diary-leather-case/,http://www.happytel.com/iphone-6-plus-case-bling-button-diary-leather-case/,http://www.happytel.com/iphone-6-plus-bling-button-diary/,Product,229
/iphone-6-case-bling-button-diary-leather-case/,http://www.happytel.com/iphone-6-case-bling-button-diary-leather-case/,http://www.happytel.com/iphone-6-bling-button-diary/,Product,228
/iphone-6-case-hard-case-otter-box-symmetry/,http://www.happytel.com/iphone-6-case-hard-case-otter-box-symmetry/,http://www.happytel.com/iphone-6-otterbox-symmetry-case/,Product,225
/iphone-6-case-genuine-otterbox-defender/,http://www.happytel.com/iphone-6-case-genuine-otterbox-defender/,http://www.happytel.com/iphone-5-otterbox-defender-case/,Product,223
/iphone-6-case-hard-case-20-c/,http://www.happytel.com/iphone-6-case-hard-case-20-c/,http://www.happytel.com/iphone-6-6s-highlight/,Product,222
/iphone-6-plus-case-tough-air-hard-case-black/,http://www.happytel.com/iphone-6-plus-case-tough-air-hard-case-black/,http://www.happytel.com/iphone-6-plus-case-mate-tough-air/,Product,210
/iphone-6-plus-case-naked-tough-clear-hard-case/,http://www.happytel.com/iphone-6-plus-case-naked-tough-clear-hard-case/,http://www.happytel.com/iphone-6-plus-case-mate-naked-tough-clear-case/,Product,209
/iphone-6-plus-case-mate-tough-hard-case/,http://www.happytel.com/iphone-6-plus-case-mate-tough-hard-case/,http://www.happytel.com/iphone-6-plus-case-mate-tough/,Product,208
/galaxy-s4-case-persian-hard-case/,http://www.happytel.com/galaxy-s4-case-persian-hard-case/,http://www.happytel.com/galaxy-s4-persian/,Product,205
/galaxy-s4-case-genuine-otterbox-commuter/,http://www.happytel.com/galaxy-s4-case-genuine-otterbox-commuter/,http://www.happytel.com/galaxy-s4-otterbox-commuter-case/,Product,201
/galaxy-s4-case-genuine-otterbox-defender/,http://www.happytel.com/galaxy-s4-case-genuine-otterbox-defender/,http://www.happytel.com/galaxy-s4-otterbox-defender-case/,Product,198
/samsung-galaxy-note-3-case-goospery-focus-bumper/,http://www.happytel.com/samsung-galaxy-note-3-case-goospery-focus-bumper/,http://www.happytel.com/galaxy-note-3-goospery-focus-bumper/,Product,197
/iphone-6-case-leather-case-eros/,http://www.happytel.com/iphone-6-case-leather-case-eros/,http://www.happytel.com/iphone-6-eros/,Product,195
/iphone-5-5s-case-wallet-msg-diary/,http://www.happytel.com/iphone-5-5s-case-wallet-msg-diary/,http://www.happytel.com/iphone-5-5s-msg-diary-case/,Product,194
/iphone-5-5s-case-flip-case/,http://www.happytel.com/iphone-5-5s-case-flip-case/,http://www.happytel.com/iphone-5-5s-flip-case/,Product,193
/iphone-6-case-hard-case-bumper-8/,http://www.happytel.com/iphone-6-case-hard-case-bumper-8/,http://www.happytel.com/iphone-6-bumper-8/,Product,192
/ipod-touch-5-case-hard-case-lahoya/,http://www.happytel.com/ipod-touch-5-case-hard-case-lahoya/,http://www.happytel.com/ipod-touch-5-lahoya/,Product,190
/ipod-touch-5-case-soft-case-spongebob/,http://www.happytel.com/ipod-touch-5-case-soft-case-spongebob/,http://www.happytel.com/ipod-touch-5-spongebob/,Product,189
/iphone-6-case-leather-case-msg-diary/,http://www.happytel.com/iphone-6-case-leather-case-msg-diary/,http://www.happytel.com/iphone-6-msg-diary/,Product,188
/iphone-6-case-leather-case-secret-diary/,http://www.happytel.com/iphone-6-case-leather-case-secret-diary/,http://www.happytel.com/iphone-6-secret-diary/,Product,187
/iphone-6-case-leather-case-sonata-diary/,http://www.happytel.com/iphone-6-case-leather-case-sonata-diary/,http://www.happytel.com/iphone-6-sonata-diary/,Product,186
/iphone-6-case-hard-case-bumper-4/,http://www.happytel.com/iphone-6-case-hard-case-bumper-4/,http://www.happytel.com/iphone-6-bumper-4/,Product,181
/iphone-5-5s-case-golf-fit-hard-case-with-card-holder/,http://www.happytel.com/iphone-5-5s-case-golf-fit-hard-case-with-card-holder/,http://www.happytel.com/iphone-5-5s-golf-fit/,Product,179
/galaxy-s5-case-golf-fit-hard-case-with-card-holder/,http://www.happytel.com/galaxy-s5-case-golf-fit-hard-case-with-card-holder/,http://www.happytel.com/galaxy-s5-golf-fit/,Product,178
/iphone-5-5s-case-wallet-case/,http://www.happytel.com/iphone-5-5s-case-wallet-case/,http://www.happytel.com/iphone-5-5s-wallet/,Product,176
/iphone-5-5s-case-fancy-flip-case/,http://www.happytel.com/iphone-5-5s-case-fancy-flip-case/,http://www.happytel.com/iphone-5-5s-fancy-flip/,Product,164
/iphone-5-5s-case-hard-case-hello-kitty/,http://www.happytel.com/iphone-5-5s-case-hard-case-hello-kitty/,http://www.happytel.com/iphone-5-5s-hello-kitty/,Product,160
/iphone-5-5s-case-hard-case-alu/,http://www.happytel.com/iphone-5-5s-case-hard-case-alu/,http://www.happytel.com/iphone-5-5s-alu/,Product,159
/iphone-5-5s-case-hard-case-i-gloo/,http://www.happytel.com/iphone-5-5s-case-hard-case-i-gloo/,http://www.happytel.com/iphone-5-5s-i-gloo/,Product,158
/iphone-5-5s-case-hard-bumper-case/,http://www.happytel.com/iphone-5-5s-case-hard-bumper-case/,http://www.happytel.com/iphone-5-5s-bumper/,Product,157
